Category,Supplier,Sell Price,Buy Cost,Shipping Cost,Fee %,Ad Cost,Units,Revenue,Product Cost,Shipping Total,Fees Cost,Refund Flag,Refund Cost,Total Cost,Net Profit,Margin %,ROAS,Order Status
Lifestyle,Shenzhen Smart Home,$36.23,$10.63,$3.93,$0.03,$18.35,$2.00,$72.46,$21.26,$7.86,$2.17,No,$0.00,$49.64,$22.82,31.5%,3.95,Delivered
Automotive,Dongguan Auto Tools,$46.71,$13.78,$6.00,$0.03,$0.00,$3.00,$140.13,$41.34,$18.00,$4.20,No,$0.00,$63.54,$76.59,54.7%,0.00,Delivered
Home Decor,Yiwu Lighting Factory,$27.16,$5.99,$3.73,$0.03,$22.04,$3.00,$81.48,$17.97,$11.19,$2.44,No,$0.00,$53.64,$27.84,34.2%,3.70,Delivered
Electronics,Shenzhen Print Tech,$65.77,$21.01,$7.19,$0.03,$9.62,$1.00,$65.77,$21.01,$7.19,$1.97,No,$0.00,$39.79,$25.98,39.5%,6.84,Delivered
Automotive,Dongguan Auto Tools,$41.33,$15.02,$7.07,$0.03,$27.25,$3.00,$123.99,$45.06,$21.21,$3.72,No,$0.00,$97.24,$26.75,21.6%,4.55,Delivered
Fitness,Hangzhou Health Gear,$36.04,$8.56,$3.75,$0.03,$8.57,$1.00,$36.04,$8.56,$3.75,$1.08,No,$0.00,$21.96,$14.08,39.1%,4.21,Delivered
Home Decor,Yiwu Lighting Factory,$26.71,$6.12,$3.40,$0.03,$6.87,$1.00,$26.71,$6.12,$3.40,$0.80,No,$0.00,$17.19,$9.52,35.6%,3.89,Delivered
Fitness,Hangzhou Health Gear,$33.08,$9.71,$3.77,$0.03,$3.96,$2.00,$66.16,$19.42,$7.54,$1.98,No,$0.00,$32.90,$33.26,50.3%,16.71,Delivered
Pets,Yiwu Pet Products,$20.42,$3.35,$2.49,$0.03,$16.08,$3.00,$61.26,$10.05,$7.47,$1.84,No,$0.00,$35.44,$25.82,42.1%,3.81,Delivered
Kitchen,Foshan Appliances,$53.18,$16.82,$5.87,$0.03,$5.90,$1.00,$53.18,$16.82,$5.87,$1.60,No,$0.00,$30.19,$22.99,43.2%,9.01,Delivered
Home Decor,Yiwu Lighting Factory,$24.36,$6.05,$3.32,$0.03,$3.24,$1.00,$24.36,$6.05,$3.32,$0.73,No,$0.00,$13.34,$11.02,45.2%,7.52,Delivered
Automotive,Dongguan Auto Tools,$45.62,$13.94,$7.25,$0.03,$4.62,$2.00,$91.24,$27.88,$14.50,$2.74,No,$0.00,$49.74,$41.50,45.5%,19.75,Delivered
Kitchen,Foshan Appliances,$53.29,$15.27,$6.29,$0.03,$0.00,$2.00,$106.58,$30.54,$12.58,$3.20,No,$0.00,$46.32,$60.26,56.5%,0.00,Delivered
Pets,Yiwu Pet Products,$19.67,$3.40,$2.82,$0.03,$4.76,$2.00,$39.34,$6.80,$5.64,$1.18,No,$0.00,$18.38,$20.96,53.3%,8.26,Delivered
Home Decor,Yiwu Lighting Factory,$23.74,$6.17,$3.56,$0.03,$16.49,$2.00,$47.48,$12.34,$7.12,$1.42,No,$0.00,$37.37,$10.11,21.3%,2.88,Delivered
Kitchen,Foshan Appliances,$48.78,$17.16,$5.65,$0.03,$0.00,$3.00,$146.34,$51.48,$16.95,$4.39,No,$0.00,$72.82,$73.52,50.2%,0.00,Delivered
Electronics,Shenzhen Print Tech,$60.22,$21.76,$7.97,$0.03,$5.71,$1.00,$60.22,$21.76,$7.97,$1.81,No,$0.00,$37.25,$22.97,38.1%,10.55,Delivered
Lifestyle,Shenzhen Smart Home,$34.03,$10.13,$3.84,$0.03,$6.13,$1.00,$34.03,$10.13,$3.84,$1.02,No,$0.00,$21.12,$12.91,37.9%,5.55,Delivered
Automotive,Dongguan Auto Tools,$49.68,$13.59,$6.24,$0.03,$1.98,$1.00,$49.68,$13.59,$6.24,$1.49,No,$0.00,$23.30,$26.38,53.1%,25.09,Delivered
Pets,Yiwu Pet Products,$18.70,$3.67,$2.54,$0.03,$19.91,$3.00,$56.10,$11.01,$7.62,$1.68,No,$0.00,$40.22,$15.88,28.3%,2.82,Delivered
Home Decor,Yiwu Lighting Factory,$23.60,$6.07,$3.61,$0.03,$2.25,$2.00,$47.20,$12.14,$7.22,$1.42,No,$0.00,$23.03,$24.17,51.2%,20.98,Delivered
Accessories,Guangzhou Cases Ltd.,$16.17,$1.98,$1.97,$0.03,$5.80,$1.00,$16.17,$1.98,$1.97,$0.49,No,$0.00,$10.24,$5.93,36.7%,2.79,Delivered
Electronics,Shenzhen Audio Co.,$43.81,$8.61,$4.21,$0.03,$2.85,$1.00,$43.81,$8.61,$4.21,$1.31,No,$0.00,$16.98,$26.83,61.2%,15.37,Delivered
Automotive,Dongguan Auto Tools,$44.19,$14.17,$6.31,$0.03,$20.54,$2.00,$88.38,$28.34,$12.62,$2.65,No,$0.00,$64.15,$24.23,27.4%,4.30,Delivered
Accessories,Guangzhou Cases Ltd.,$16.73,$2.02,$2.18,$0.03,$3.74,$2.00,$33.46,$4.04,$4.36,$1.00,No,$0.00,$13.14,$20.32,60.7%,8.95,Delivered
Electronics,Shenzhen Audio Co.,$43.14,$8.83,$4.57,$0.03,$9.57,$1.00,$43.14,$8.83,$4.57,$1.29,No,$0.00,$24.26,$18.88,43.8%,4.51,Delivered
Electronics,Shenzhen Audio Co.,$42.78,$8.43,$4.06,$0.03,$0.00,$1.00,$42.78,$8.43,$4.06,$1.28,No,$0.00,$13.77,$29.01,67.8%,0.00,Delivered
Home Decor,Yiwu Lighting Factory,$23.41,$5.95,$3.59,$0.03,$2.68,$2.00,$46.82,$11.90,$7.18,$1.40,No,$0.00,$23.16,$23.66,50.5%,17.47,Delivered
Beauty,Ningbo Beauty Supply,$31.55,$7.03,$5.02,$0.03,$9.11,$2.00,$63.10,$14.06,$10.04,$1.89,No,$0.00,$35.10,$28.00,44.4%,6.93,Delivered
Accessories,Guangzhou Cases Ltd.,$15.35,$2.02,$2.02,$0.03,$12.66,$3.00,$46.05,$6.06,$6.06,$1.38,No,$0.00,$26.16,$19.89,43.2%,3.64,Delivered
Lifestyle,Shenzhen Smart Home,$31.41,$9.76,$3.84,$0.03,$16.43,$2.00,$62.82,$19.52,$7.68,$1.88,No,$0.00,$45.51,$17.31,27.6%,3.82,Delivered
Accessories,Guangzhou Cases Ltd.,$15.14,$2.10,$1.87,$0.03,$9.65,$1.00,$15.14,$2.10,$1.87,$0.45,Yes,$7.20,$21.27,-$6.13,-40.5%,1.57,Refunded
Lifestyle,Shenzhen Smart Home,$32.03,$10.46,$4.21,$0.03,$11.05,$3.00,$96.09,$31.38,$12.63,$2.88,No,$0.00,$57.94,$38.15,39.7%,8.70,Delivered
Automotive,Dongguan Auto Tools,$41.78,$14.50,$6.59,$0.03,$0.00,$3.00,$125.34,$43.50,$19.77,$3.76,No,$0.00,$67.03,$58.31,46.5%,0.00,Delivered
Lifestyle,Shenzhen Smart Home,$32.19,$9.83,$4.10,$0.03,$10.31,$1.00,$32.19,$9.83,$4.10,$0.97,No,$0.00,$25.21,$6.98,21.7%,3.12,Delivered
Home Decor,Yiwu Lighting Factory,$25.43,$6.39,$3.55,$0.03,$6.71,$1.00,$25.43,$6.39,$3.55,$0.76,No,$0.00,$17.41,$8.02,31.5%,3.79,Delivered
Fitness,Hangzhou Health Gear,$31.50,$8.85,$3.85,$0.03,$14.87,$2.00,$63.00,$17.70,$7.70,$1.89,No,$0.00,$42.16,$20.84,33.1%,4.24,Delivered
Electronics,Shenzhen Audio Co.,$44.13,$8.48,$3.92,$0.03,$3.98,$1.00,$44.13,$8.48,$3.92,$1.32,No,$0.00,$17.70,$26.43,59.9%,11.09,Delivered
Beauty,Ningbo Beauty Supply,$28.29,$7.51,$5.14,$0.03,$0.00,$2.00,$56.58,$15.02,$10.28,$1.70,No,$0.00,$27.00,$29.58,52.3%,0.00,Delivered
Pets,Yiwu Pet Products,$21.66,$3.41,$2.28,$0.03,$4.08,$1.00,$21.66,$3.41,$2.28,$0.65,No,$0.00,$10.42,$11.24,51.9%,5.31,Delivered
Accessories,Guangzhou Cases Ltd.,$15.65,$2.12,$2.10,$0.03,$0.00,$2.00,$31.30,$4.24,$4.20,$0.94,No,$0.00,$9.38,$21.92,70.0%,0.00,Delivered
Automotive,Dongguan Auto Tools,$42.47,$14.90,$7.41,$0.03,$0.00,$2.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,0.0%,0.00,Cancelled
Accessories,Guangzhou Cases Ltd.,$15.87,$2.12,$2.23,$0.03,$8.13,$1.00,$15.87,$2.12,$2.23,$0.48,No,$0.00,$12.96,$2.91,18.3%,1.95,Delivered
Accessories,Guangzhou Cases Ltd.,$13.99,$2.14,$1.99,$0.03,$4.37,$1.00,$13.99,$2.14,$1.99,$0.42,No,$0.00,$8.92,$5.07,36.2%,3.20,Delivered
Accessories,Guangzhou Cases Ltd.,$13.93,$2.07,$1.92,$0.03,$18.97,$2.00,$27.86,$4.14,$3.84,$0.84,No,$0.00,$27.79,$0.07,0.3%,1.47,Delivered
Electronics,Shenzhen Print Tech,$62.56,$21.72,$7.15,$0.03,$1.08,$1.00,$62.56,$21.72,$7.15,$1.88,No,$0.00,$31.83,$30.73,49.1%,57.93,Delivered
